Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
679,Cal Stevenson*,25,OAK,AL,23,71,60,5,10,3,0,0,1,1,1,8,23,.167,.261,.217,.478,42,13,1,0,2,1,0,8/H97,steveca01
680,DJ Stewart*,28,BAL,AL,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H,stewadj01
681,Trevor Story,29,BOS,AL,94,396,357,53,85,22,0,16,66,13,0,32,122,.238,.303,.434,.737,102,155,9,3,0,4,4,4/H,storytr01
682,Bryson Stott*,24,PHI,NL,120,443,405,54,91,16,2,9,44,9,4,35,84,.225,.287,.341,.628,77,138,3,1,1,1,0,64/H5,stottbr01
683,Kyle Stowers*,24,BAL,AL,29,79,74,9,19,2,1,2,9,0,0,4,24,.257,.304,.392,.696,96,29,1,1,0,0,0,79/HD,stoweky01
684,Dee Strange-Gordon*,34,WSN,NL,22,59,59,6,18,1,1,0,2,3,2,0,8,.305,.305,.356,.661,91,21,1,0,0,0,0,6/87HD1,gordode01
685,Myles Straw,27,CLE,AL,146,576,519,70,113,22,3,0,29,20,1,52,82,.218,.289,.272,.560,64,141,4,1,1,3,0,*8/H,strawmy01
686,Hunter Strickland,33,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,strichu01
687,Garrett Stubbs*,29,PHI,NL,43,111,98,19,27,4,1,5,16,2,0,12,25,.276,.355,.490,.844,136,48,2,0,1,0,0,2/HD17,stubbga01
688,Eugenio Suarez,30,SEA,AL,144,602,517,72,123,24,2,31,85,0,0,73,186,.238,.339,.472,.811,135,244,10,8,0,4,0,*5D/H,suareeu01
689,Cole Sulser,32,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,sulseco01
690,Jack Suwinski*,23,PIT,NL,100,348,309,41,60,11,0,18,35,4,2,34,109,.194,.282,.405,.686,91,125,5,4,0,1,1,798/HD,suwinja01
691,Kurt Suzuki,38,LAA,AL,49,156,137,10,24,4,0,4,14,0,0,15,29,.175,.258,.292,.550,56,40,3,1,1,2,0,2/HD3,suzukku01
692,Seiya Suzuki,27,CHC,NL,104,417,372,48,98,22,1,13,45,9,5,38,103,.263,.336,.433,.769,116,161,8,4,0,3,3,9/HD,suzukse01
693,Travis Swaggerty*,24,PIT,NL,5,9,9,0,1,0,0,0,0,0,0,0,4,.111,.111,.111,.222,-37,1,0,0,0,0,0,/7H8D,swaggtr01
694,Dansby Swanson,28,ATL,NL,156,674,620,96,171,31,1,22,92,18,7,47,178,.276,.328,.435,.763,111,270,9,3,0,4,0,*6,swansda01
695,Raimel Tapia*,28,TOR,AL,122,408,388,43,101,20,3,6,50,8,1,14,74,.260,.285,.374,.659,87,145,11,0,3,1,0,*789H/D,tapiara01
696,Dillon Tate,28,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,tatedi01
697,Leody Taveras#,23,TEX,AL,92,324,298,36,78,13,2,4,32,10,5,20,82,.262,.310,.359,.669,91,107,2,2,1,3,0,8/HD,taverle01
698,Chris Taylor,31,LAD,NL,116,446,394,43,86,25,3,10,41,10,1,44,159,.218,.303,.373,.676,85,147,4,5,0,3,2,7489/HD56,tayloch03
699,Michael A. Taylor,31,KCR,AL,120,441,400,47,103,10,3,9,43,4,2,35,106,.258,.318,.365,.683,92,146,5,2,1,3,0,*8/HD1,taylomi02
700,Tyrone Taylor,28,MIL,NL,113,385,355,48,82,18,3,17,50,3,2,20,99,.231,.283,.442,.725,103,157,11,7,0,3,0,*897/HD,tayloty01
701,Rowdy Tellez*,27,MIL,NL,147,579,510,65,113,23,0,34,87,2,1,62,118,.222,.311,.467,.778,118,238,19,5,0,2,9,*3H/D,tellero01
702,Matt Thaiss*,27,LAA,AL,25,70,61,7,14,0,0,2,7,1,0,8,23,.230,.314,.328,.642,83,20,1,0,0,1,0,2/3H5,thaisma01
703,Caleb Thielbar,35,MIN,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,thielca01
704,Alek Thomas*,22,ARI,NL,113,411,381,45,88,17,1,8,39,4,3,22,74,.231,.275,.344,.619,75,131,6,3,0,5,0,*8/H,thomaal01
705,Cody Thomas*,27,OAK,AL,10,32,30,1,8,0,0,0,0,0,0,2,12,.267,.313,.267,.579,72,8,0,0,0,0,0,7,thomaco01
706,Dillon Thomas*,29,LAA,AL,8,14,11,1,1,0,0,0,0,0,0,2,6,.091,.286,.091,.377,14,1,0,1,0,0,0,/79H,thomadi01
707,Lane Thomas,26,WSN,NL,139,520,475,59,117,25,2,17,52,8,3,36,125,.246,.302,.415,.717,106,197,8,4,0,5,0,*789H/D,thomala02
708,Bubba Thompson,24,TEX,AL,47,155,144,16,40,4,0,1,8,18,3,7,48,.278,.320,.326,.647,86,47,0,2,2,0,0,7/89HD,thompbu01
709,Trayce Thompson,31,TOT,NL,75,237,205,33,50,13,1,12,39,3,1,28,88,.244,.338,.493,.830,126,101,2,2,0,2,0,798H/D,thomptr01
710,Michael Toglia#,23,COL,NL,25,97,90,9,19,7,2,2,11,1,1,7,32,.211,.268,.400,.668,76,36,2,0,0,0,0,93/H,toglimi01
711,Ka'ai Tom*,28,SFG,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H9,tomka01
712,Spencer Torkelson,22,DET,AL,104,381,338,33,68,16,1,6,25,0,1,36,91,.201,.286,.308,.594,74,104,12,5,0,2,0,3/H,torkesp01
713,Abraham Toro#,25,SEA,AL,103,332,306,34,56,13,1,9,30,1,0,22,58,.183,.238,.320,.558,62,98,4,1,0,3,1,45DH/39,toroab01
714,Luis Torrens,26,SEA,AL,49,147,136,10,29,2,0,2,12,0,0,8,45,.213,.259,.272,.531,56,37,5,1,0,2,0,2/DH41,torrelu01
715,Gleyber Torres,25,NYY,AL,138,563,517,71,133,27,1,24,74,10,5,39,126,.257,.311,.453,.764,115,234,12,3,1,3,2,*4/DH6,torregl01
716,Ezequiel Tovar,20,COL,NL,4,16,14,1,4,0,0,0,0,0,0,2,5,.286,.375,.286,.661,82,4,0,0,0,0,0,/6,tovarez01
717,Taylor Trammell*,24,SEA,AL,42,113,98,15,20,9,0,4,10,2,1,13,32,.204,.295,.418,.713,106,41,1,0,1,1,0,9/8HD7,trammta01
718,Alan Trejo,26,COL,NL,32,113,106,14,30,6,0,4,16,0,2,5,28,.283,.327,.453,.780,107,48,3,2,0,0,0,64/5H,trejoal01
719,Jose Trevino,29,NYY,AL,111,338,322,38,81,12,1,10,42,2,1,13,59,.252,.284,.388,.672,90,125,5,2,0,1,0,*2/H,trevijo01
720,Chadwick Tromp,27,ATL,NL,1,4,4,0,3,2,0,0,3,0,0,0,0,.750,.750,1.250,2.000,446,5,0,0,0,0,0,/2,trompch01
721,Mike Trout,30,LAA,AL,113,472,415,80,114,24,2,38,78,1,0,50,135,.275,.360,.617,.977,171,256,6,6,0,1,6,*8/DH,troutmi01
722,Yoshi Tsutsugo*,30,PIT,NL,50,193,170,11,29,4,0,2,19,0,0,19,50,.171,.249,.229,.478,37,39,3,0,0,4,0,3D/H,tsutsyo01
723,Cole Tucker#,25,PIT,NL,18,63,63,3,11,1,1,0,2,1,0,0,25,.175,.175,.222,.397,11,14,1,0,0,0,0,9/46H,tuckeco01
724,Kyle Tucker*,25,HOU,AL,144,591,526,70,138,28,1,29,104,25,4,59,93,.262,.337,.485,.822,131,255,11,1,0,2,4,*9/DH,tuckeky01
725,Justin Turner,37,LAD,NL,125,521,457,61,128,36,0,13,81,3,0,50,86,.280,.353,.444,.797,118,203,13,6,0,8,1,5D/H,turneju01
726,Trea Turner,29,LAD,NL,153,679,625,97,187,39,4,20,97,25,3,43,123,.299,.344,.470,.815,122,294,9,3,0,6,1,*6,turnetr01
727,Justin Upton,34,SEA,AL,17,57,48,2,6,1,0,1,3,0,0,6,23,.125,.263,.208,.471,41,10,1,3,0,0,0,D/97H,uptonju01
728,Luis Urias,25,MIL,NL,113,452,388,52,90,14,1,15,44,1,2,49,96,.232,.330,.389,.719,104,151,7,10,0,5,0,546/H,uriaslu01
729,Ramon Urias,28,BAL,AL,118,445,403,50,100,17,1,16,51,1,0,30,98,.248,.305,.414,.720,102,167,7,5,3,4,1,54/6HD,uriasra01
730,Gio Urshela,30,MIN,AL,137,523,476,57,134,27,3,12,60,1,0,38,91,.282,.333,.426,.759,118,203,21,2,0,7,2,*5/DH6,urshegi01
731,Josh VanMeter*,27,PIT,NL,67,192,171,15,32,5,2,3,14,4,0,19,45,.187,.266,.292,.558,58,50,3,0,0,2,0,43H/15D29,vanmejo01
732,Ildemaro Vargas#,30,TOT,NL,56,197,184,19,49,11,1,4,21,3,1,8,23,.266,.306,.402,.708,103,74,5,3,1,1,0,56/4H,vargail01
733,Miguel Vargas,22,LAD,NL,12,40,39,3,7,1,0,1,5,1,0,1,9,.179,.200,.282,.482,31,11,0,0,0,0,0,/37D,vargami01
734,Daulton Varsho*,25,ARI,NL,145,569,509,78,122,23,3,27,73,14,6,46,138,.240,.307,.456,.763,114,232,7,6,2,5,0,*982D/H,varshda01
735,Andrew Vaughn,24,CHW,AL,129,537,495,59,137,28,1,17,74,0,0,29,92,.277,.326,.440,.766,115,218,13,9,0,4,0,97D3/H4,vaughan01
736,Terrin Vavra*,25,BAL,AL,34,85,73,13,20,2,1,0,9,0,1,10,16,.274,.353,.329,.682,96,24,2,0,0,2,0,4/7DH9,vavrate01
737,Christian Vazquez,31,TOT,AL,114,415,387,40,106,22,0,8,50,1,4,22,67,.274,.316,.393,.708,97,152,9,3,0,3,0,2H/34D,vazquch01
738,Andrew Velazquez#,27,LAA,AL,125,349,322,37,63,8,0,9,28,17,1,15,119,.196,.236,.304,.540,52,98,3,3,6,3,0,*6/H,velazan01
739,Nelson Velázquez,23,CHC,NL,73,191,174,18,34,6,1,6,21,5,2,16,61,.195,.267,.345,.612,72,60,5,1,0,0,0,89H7/D,velazne01
740,Alex Verdugo*,26,BOS,AL,146,621,571,70,162,38,1,11,74,1,3,41,83,.284,.332,.412,.743,105,235,13,3,0,6,2,*79/DH,verdual01
741,Mark Vientos,22,NYM,NL,12,33,28,1,4,1,0,1,3,0,0,5,10,.143,.273,.286,.558,61,8,1,0,0,0,0,D/H,vientma01
742,Matt Vierling,25,PHI,NL,110,338,307,39,75,11,1,5,29,7,4,22,67,.244,.296,.336,.631,78,103,7,3,0,6,0,897H/543D,vierlma01
743,David Villar,25,SFG,NL,47,165,142,19,30,6,1,7,19,0,1,18,55,.211,.315,.415,.731,105,59,3,4,0,1,0,5/3D4H,villada01
744,Jonathan Villar#,31,TOT,MLB,59,220,202,25,42,6,2,3,18,7,0,15,59,.208,.260,.302,.562,59,61,4,0,1,2,0,45/H6D,villajo01
745,Meibrys Viloria*,25,TEX,AL,26,75,63,10,10,1,0,2,5,0,0,11,29,.159,.280,.270,.550,59,17,0,0,0,1,0,2/HD,vilorme01
746,Daniel Vogelbach*,29,TOT,NL,125,445,372,44,87,19,1,17,57,0,0,71,107,.234,.357,.427,.785,122,159,11,1,0,1,2,*DH/3,vogelda01
747,Stephen Vogt*,37,OAK,AL,65,183,161,16,26,4,1,6,22,1,0,16,44,.161,.240,.311,.551,60,50,4,2,0,4,0,DH23,vogtst01
748,Luke Voit,31,TOT,NL,128,541,474,52,110,22,0,21,67,1,1,54,167,.232,.316,.411,.727,111,195,7,7,0,6,1,D3/H,voitlu01
749,Jason Vosler*,28,SFG,NL,30,96,86,12,24,5,1,4,12,1,1,8,25,.279,.344,.500,.844,135,43,2,1,0,1,1,5/H34796,vosleja01
750,Joey Votto*,38,CIN,NL,91,376,322,31,66,18,1,11,41,0,0,44,97,.205,.319,.370,.689,87,119,8,10,0,0,0,3D/H,vottojo01
751,LaMonte Wade Jr.*,28,SFG,NL,72,235,202,27,39,7,1,8,25,0,0,25,49,.193,.296,.356,.653,84,72,0,5,2,1,0,937DH/8,wadela01
752,Tyler Wade*,27,LAA,AL,67,163,147,22,32,5,0,1,8,8,5,10,33,.218,.272,.272,.544,56,40,3,1,5,0,0,465H/798D,wadety01
753,Christian Walker,31,ARI,NL,154,640,557,81,131,23,1,36,91,1,2,68,127,.235,.323,.474,.797,124,264,14,8,0,7,2,*3D/H,walkech02
754,Steele Walker*,25,TEX,AL,5,16,14,1,1,0,0,1,1,0,0,2,4,.071,.188,.286,.473,33,4,0,0,0,0,0,/7H9,walkest01
755,Chad Wallach,30,LAA,AL,12,40,35,3,5,1,0,1,4,0,0,4,9,.143,.231,.257,.488,39,9,1,0,1,0,0,2,wallach01
756,Matt Wallner*,24,MIN,AL,12,44,40,3,11,3,0,2,9,0,0,3,18,.275,.341,.500,.841,140,20,0,1,0,0,1,9/H,wallnma01
757,Taylor Walls#,25,TBR,AL,136,449,393,51,68,17,2,7,32,10,3,49,116,.173,.267,.280,.547,62,110,5,2,2,2,0,645/HD,wallsta01
758,Jared Walsh*,28,LAA,AL,118,454,423,41,91,18,2,15,44,2,1,27,138,.215,.269,.374,.642,80,158,6,4,0,0,4,*3H/7,walshja01
759,Donovan Walton*,28,TOT,MLB,25,78,76,9,12,8,0,1,8,0,0,1,16,.158,.179,.303,.482,33,23,1,1,0,0,0,46/H51,waltodo01
760,Taylor Ward,28,LAA,AL,128,535,467,69,129,18,2,22,61,5,3,59,116,.276,.359,.465,.824,132,217,4,4,0,5,0,*9/8H5D7,wardta01
761,Drew Waters#,23,KCR,AL,25,83,72,8,17,5,1,2,10,0,0,10,27,.236,.329,.417,.746,109,30,1,0,0,0,0,9/8HD7,waterdr01
762,Luke Weaver,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/DH,weavelu01
763,J.B. Wendelken,29,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wendejb01
764,Joey Wendle*,32,MIA,NL,95,348,325,26,84,24,1,3,31,12,3,14,42,.258,.297,.366,.663,87,119,5,5,1,3,0,546H/D,wendljo01
765,Eli White,28,TEX,AL,47,117,105,16,21,2,0,3,10,12,1,11,41,.200,.274,.305,.578,65,32,0,0,0,1,0,87/HD9,whiteel04
766,Aaron Whitefield,25,LAA,AL,5,11,11,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,0,0,/987H,whiteaa01
767,Luke Williams,25,TOT,NL,79,136,127,21,30,5,1,1,6,11,4,9,44,.236,.287,.315,.602,71,40,1,0,0,0,1,57H4/D3,willilu01
768,Trevor Williams,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,willitr01
769,Marcus Wilson,25,SEA,AL,3,6,5,1,1,0,0,0,0,0,0,1,4,.200,.333,.200,.533,62,1,0,0,0,0,0,/H98D,wilsoma02
770,Jesse Winker*,28,SEA,AL,133,536,447,48,98,15,0,13,50,0,0,82,101,.219,.343,.340,.683,102,152,8,4,0,3,1,*7D/H,winkeje01
771,Patrick Wisdom,30,CHC,NL,129,512,449,65,94,25,0,25,65,8,4,52,173,.209,.301,.432,.733,104,194,8,8,1,2,1,53/9H7D8,wisdopa01
772,Bobby Witt,22,KCR,AL,143,600,562,81,144,31,6,20,80,28,7,27,126,.256,.295,.440,.735,104,247,12,6,0,5,2,65/DH,wittbo02
773,Tony Wolters*,30,LAD,NL,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/42DH,wolteto01
774,Connor Wong,26,BOS,AL,22,45,38,7,8,2,0,1,7,0,0,4,14,.211,.295,.342,.638,77,13,0,1,1,1,0,2/H45,wongco01
775,Kolten Wong*,31,MIL,NL,128,481,417,64,105,23,4,15,46,16,5,43,85,.252,.338,.434,.772,119,181,5,14,2,5,1,*4H/D6,wongko01
776,Austin Wynns,31,SFG,NL,60,167,152,12,38,7,0,2,19,0,0,10,38,.250,.307,.336,.643,82,51,9,3,1,1,0,2/DH1,wynnsau01
777,Mike Yastrzemski*,31,SFG,NL,141,529,460,68,97,29,2,15,52,5,1,58,130,.211,.303,.380,.683,92,175,3,5,1,5,0,*98H/D,yastrmi01
778,Christian Yelich*,30,MIL,NL,147,640,549,95,139,25,4,12,54,17,2,83,153,.253,.355,.379,.734,110,208,9,5,1,2,5,*7D/H,yelicch01
779,Juan Yepez,24,STL,NL,70,252,232,27,60,11,0,12,29,0,0,15,57,.259,.302,.461,.763,116,107,5,1,0,4,0,7D93/H5,yepezju01
780,Jared Young*,26,CHC,NL,6,22,19,2,5,2,0,0,0,1,0,3,7,.263,.364,.368,.732,108,7,0,0,0,0,0,/D3H9,youngja02
781,Seby Zavala,28,CHW,AL,61,205,178,22,48,14,0,2,21,0,0,19,64,.270,.347,.382,.729,107,68,1,3,3,2,0,2/H3D,zavalse01
782,Bradley Zimmer*,29,TOT,MLB,104,106,94,17,12,5,0,2,3,2,2,5,39,.128,.219,.245,.464,33,23,0,6,1,0,0,8H/D9,zimmebr01
783,Mike Zunino,31,TBR,AL,36,123,115,7,17,3,0,5,16,0,0,6,46,.148,.195,.304,.499,44,35,2,1,0,1,0,2/H,zuninmi01
