Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
580,J.T. Realmuto,31,PHI,NL,133,539,482,73,132,24,5,21,82,18,0,41,111,.274,.341,.475,.816,128,229,6,11,0,5,1,*2/H3D,realmjt01
581,Jake Reed,29,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,reedja02
582,Rob Refsnyder,31,BOS,AL,56,173,150,25,47,11,0,6,21,1,1,15,44,.313,.387,.507,.894,146,76,1,5,0,3,0,9H8/D7,refsnro01
583,Zach Reks*,28,TEX,AL,16,34,34,3,9,1,0,0,3,0,1,0,10,.265,.265,.294,.559,60,10,0,0,0,0,0,7/H9,reksza01
584,Anthony Rendon,32,LAA,AL,45,188,162,15,37,10,0,5,24,2,0,23,32,.228,.324,.383,.707,101,62,7,1,0,2,0,5/H,rendoan01
585,Hunter Renfroe,30,MIL,NL,119,497,450,59,114,21,1,28,70,1,1,39,117,.253,.317,.491,.808,126,221,10,4,1,3,1,*9/D3,renfrhu01
586,Luis Rengifo#,25,LAA,AL,120,480,460,43,125,22,4,15,50,6,2,15,74,.272,.301,.435,.735,106,200,9,4,1,0,0,456/H97,rengilu01
587,Franmil Reyes,26,TOT,MLB,111,444,413,38,91,15,2,13,43,2,0,27,153,.220,.268,.361,.629,78,149,12,1,0,3,0,D9/H71,reyesfr01
588,Pablo Reyes,28,MIL,NL,5,16,15,1,4,0,0,0,0,0,0,1,2,.267,.313,.267,.579,68,4,0,0,0,0,0,/651,reyespa01
589,Victor Reyes#,27,DET,AL,85,310,291,22,75,18,3,1,29,2,2,12,69,.258,.290,.351,.641,86,102,7,3,0,4,0,97H/8D,reyesvi01
590,Bryan Reynolds#,27,PIT,NL,140,591,522,72,137,17,4,26,60,7,3,54,136,.262,.345,.460,.805,125,240,13,13,0,2,6,*8D/H,reynobr01
591,Matt Reynolds,31,TOT,NL,90,265,238,31,60,10,1,3,23,5,0,25,77,.252,.325,.340,.665,81,81,7,1,0,1,0,46H359/718D,reynoma03
592,JT Riddle*,30,CIN,NL,2,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,37,1,0,0,0,0,0,/5H,riddljt01
593,Austin Riley,25,ATL,NL,154,672,597,87,164,38,2,37,92,2,0,55,160,.275,.350,.531,.881,142,317,13,16,0,4,1,*5/3H,rileyau01
594,Edwin Rios*,28,LAD,NL,27,92,86,12,21,1,0,7,17,0,1,5,36,.244,.293,.500,.793,114,43,2,1,0,0,1,D/H35,riosed01
595,Alfonso Rivas*,25,CHC,NL,95,276,244,27,59,5,2,3,25,6,1,26,84,.242,.320,.316,.636,81,77,1,3,1,2,1,3H/D79,rivasal01
596,Emmanuel Rivera,26,TOT,MLB,101,355,327,46,76,16,3,12,39,1,2,22,83,.232,.290,.410,.700,96,134,8,5,0,1,0,5H/D3,riverem01
597,Sebastian Rivero,23,KCR,AL,14,24,21,2,4,0,0,0,1,0,0,2,8,.190,.261,.190,.451,31,4,0,0,1,0,0,2/H,riverse01
598,Anthony Rizzo*,32,NYY,AL,125,527,447,75,102,21,1,32,75,6,5,57,97,.228,.342,.494,.836,135,221,13,21,0,2,6,*3/DH,rizzoan01
599,Luis Robert,24,CHW,AL,98,401,380,54,108,18,0,12,56,11,3,17,77,.284,.319,.426,.746,109,162,6,3,0,1,1,8/HD,roberlu01
600,David Robertson,37,TOT,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,roberda08
601,Kramer Robertson,27,STL,NL,2,1,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/HD6,roberkr01
602,Chuckie Robinson,27,CIN,NL,22,53,52,2,5,1,0,1,3,0,0,0,16,.096,.096,.173,.269,-29,9,5,0,1,0,0,2,robinch04
603,Victor Robles,25,WSN,NL,127,391,351,42,80,9,2,6,32,15,2,17,99,.228,.279,.316,.595,73,111,3,9,11,3,0,*8/HD,roblevi01
604,Brendan Rodgers,25,COL,NL,130,552,502,68,131,29,3,11,61,0,0,43,96,.261,.319,.396,.715,91,199,24,2,0,5,0,*4,rodgebr02
